1,Экология и природопользование,Магистратура
2,Техносферная безопасность,Магистратура
3,Экономика,Магистратура
4,Управление персоналом,Магистратура
5,Юриспруденция,Магистратура
6,Прикладная математика и информатика,Магистратура
7,Физика,Магистратура
8,Химия,Магистратура
9,Биология,Магистратура
10,Строительство,Магистратура
11,Информатика и вычислительная техника,Магистратура
12,Информационные системы и технологии,Магистратура
13,Программная инженерия,Магистратура
14,Инфокоммуникационные технологии и системы связи,Магистратура
15,Электроэнергетика и электротехника,Магистратура
16,Управление в техническихс истемах,Магистратура
17,Психология,Магистратура
18,Менеджмент,Магистратура
19,Государственное и муниципальное управление,Магистратура
20,Финансы и кредит,Магистратура
21,Педагогическое образование,Магистратура
22,Лингвистика,Магистратура
23,История,Магистратура
24,Физическая культура,Магистратура
25,Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура),Магистратура
26,Спорт,Магистратура
27,Политология,Магистратура